Dept,Education,Gender,BasePay
Sales,PhD,Male,116070.28131483488
Administration,Masters,Male,144425.5512017152
Sales,Masters,Male,89454.73158804921
Management,Masters,Male,66915.41141133106
Management,Masters,Female,79672.91700515516
Operations,Masters,Male,114603.00132983341
Engineering,College,Male,85692.28741717512
Operations,College,Female,91052.1716437285
Engineering,Masters,Male,108537.07062495768
Engineering,Masters,Female,124411.63308292668
Administration,Masters,Female,83202.19343102719
Sales,College,Male,107910.77036361645
Engineering,High School,Male,93715.2952473064
Management,Masters,Male,82868.41842856977
Administration,PhD,Male,51176.73469334733
Operations,College,Male,114963.72926589388
Operations,PhD,Male,122706.8571848555
Engineering,Masters,Male,135590.84350525853
Sales,High School,Male,87089.68207834284
Sales,College,Female,69657.9239109375
Management,College,Male,120075.32163257618
Operations,PhD,Female,113470.86826425255
Operations,College,Female,110999.64520107879
Operations,College,Female,69973.26073843932
Sales,Masters,Male,118642.00239528113
Engineering,Masters,Female,43690.054392950806
Operations,PhD,Male,70714.80094228702
Administration,College,Female,116836.3150036955
Management,College,Male,80698.08792924299
Management,High School,Female,100882.19828627497
Engineering,Masters,Female,92127.45263757487
Engineering,Masters,Female,101407.595753347
Operations,High School,Male,85295.43920146606
Management,PhD,Female,110793.62134787574
Operations,College,Female,134689.58568346675
Sales,High School,Female,76325.24806016004
Administration,Masters,Female,58811.39081238393
Administration,High School,Male,94308.60383714327
Sales,PhD,Male,66184.96706636348
Management,High School,Male,113169.51660000799
Operations,College,Male,75631.525660478
Engineering,College,Female,107314.9654817602
Sales,Masters,Male,81733.6181421759
Operations,High School,Male,67200.97367313706
Operations,High School,Male,87149.49877526904
Sales,College,Female,72124.54738941282
Sales,Masters,Female,67413.05761452913
Sales,High School,Male,114984.15428007224
Operations,High School,Female,98355.20133850562
Operations,Masters,Female,66439.01162126265
Administration,Masters,Male,100857.54245339968
Operations,PhD,Male,138515.9655437105
Operations,PhD,Female,74011.9655104184
Management,Masters,Female,54383.36264958092
Engineering,PhD,Female,103265.79457219937
Operations,College,Female,85561.17805129617
Engineering,High School,Male,36138.76966551499
Administration,PhD,Female,118766.61014952246
Management,College,Male,101411.0278598578
Engineering,High School,Female,88424.5448406024
Administration,PhD,Male,89039.48943590747
Sales,College,Male,62424.07406371443
Administration,High School,Female,71684.38098082354
Engineering,High School,Female,124302.47251118149
Administration,College,Female,76203.47543839025
Engineering,PhD,Male,86673.43442098808
Operations,Masters,Female,99690.66977517461
Sales,PhD,Female,61880.376761737854
Administration,Masters,Male,134645.03408300932
Management,High School,Female,98076.62108601135
Sales,College,Female,104668.33215671222
Sales,Masters,Female,93847.72925090144
Engineering,High School,Female,133304.1396044686
Operations,College,Male,79779.44326145161
Sales,Masters,Female,64049.54475341189
Sales,Masters,Male,46534.88607244165
Administration,Masters,Female,75002.21732549602
Sales,High School,Male,149530.4184376323
Management,Masters,Female,90104.47128859365
Operations,College,Female,100420.54334889512
Sales,High School,Male,108002.6303356647
Sales,Masters,Male,109800.34128888966
Management,Masters,Male,46918.245012077794
Administration,College,Female,131744.2875976373
Operations,PhD,Male,74267.84084559084
Sales,High School,Female,127242.05051858758
Administration,High School,Male,91474.63880859145
Administration,College,Female,85060.4744826299
Administration,Masters,Male,83468.10482095431
Operations,High School,Male,68976.44879739104
Engineering,High School,Male,103833.59461498652
Management,College,Male,103578.76351027188
Operations,College,Male,96645.70491834929
Operations,PhD,Male,112244.74460372346
Administration,PhD,Male,133093.47392680743
Operations,College,Male,99230.17483094815
Operations,College,Male,82678.49139295913
Administration,PhD,Male,79248.65051026971
Operations,College,Female,94035.80222546819
Administration,High School,Female,74252.41354928823
Engineering,PhD,Male,60502.35296748507
Engineering,High School,Male,101436.48631355325
Sales,Masters,Male,74587.6221549058
Operations,College,Male,84247.31266067308
Sales,Masters,Male,116360.96460888124
Operations,PhD,Female,73328.34596954711
Operations,Masters,Female,102585.97389959088
Sales,College,Female,123780.76505912219
Management,Masters,Male,56085.75266939836
Management,Masters,Female,90230.60097120653
Administration,High School,Male,122439.53841955989
Management,PhD,Male,105130.84052446776
Administration,PhD,Female,113402.87468277103
Operations,Masters,Male,131402.6944213509
Sales,PhD,Female,57893.13676044983
Administration,PhD,Male,104253.67220296522
Administration,Masters,Female,106347.78625152327
Management,High School,Male,94672.30514235405
Engineering,College,Male,104404.56052271533
Management,Masters,Male,147132.5353433462
Operations,PhD,Male,55279.702353106804
Management,College,Female,116474.30779241343
Management,PhD,Male,92982.88729455353
Administration,Masters,Male,91456.71575890813
Engineering,PhD,Female,74347.22055118147
Administration,High School,Female,51016.03524441214
Operations,College,Male,91273.70698490384
Operations,Masters,Male,87785.53227060882
Engineering,Masters,Male,77662.62394786403
Management,High School,Female,74651.23346041923
Management,High School,Male,50993.235504918535
Engineering,PhD,Male,142478.80203424854
Operations,PhD,Male,124164.4386382206
Management,College,Female,58841.1989428087
Sales,PhD,Male,95300.34407568481
Operations,Masters,Male,84263.87954206442
Administration,High School,Female,87678.91342458535
Operations,College,Female,105809.19332840884
Management,College,Female,110988.78188536395
Engineering,High School,Male,122630.13057261045
Operations,PhD,Female,135393.67972607916
Management,Masters,Female,108260.49628459543
Management,Masters,Female,59604.43187795331
Management,PhD,Male,104355.1579743541
Management,Masters,Male,111041.816946989
Administration,PhD,Male,97231.232688814
Sales,Masters,Male,54781.37622591956
Sales,Masters,Male,89752.29093016143
Operations,College,Female,76091.57401365726
Administration,Masters,Male,109264.47069212572
Engineering,Masters,Male,47636.729471915954
Administration,Masters,Male,101086.36798188227
Administration,High School,Female,54858.2199461876
Management,High School,Female,88793.31008788271
Sales,Masters,Female,86499.51238610431
Sales,High School,Female,33036.25607403742
Operations,PhD,Female,76713.82071833742
Administration,High School,Male,112894.94779716112
Engineering,Masters,Female,78761.81834853471
Sales,PhD,Female,96707.0611289966
Management,Masters,Male,112516.186148152
Administration,Masters,Male,80678.10773746308
Administration,College,Female,82646.18474422857
Management,PhD,Male,95388.52244150634
Engineering,PhD,Female,104660.98320349077
Management,College,Male,101099.9860234382
Management,High School,Male,60767.9797941326
Administration,PhD,Male,124182.52196925192
Sales,High School,Male,154359.60540047774
Operations,PhD,Female,51331.39765329992
Operations,High School,Male,57089.939653560265
Sales,College,Male,104610.02626936094
Management,PhD,Female,151315.6504069358
Engineering,College,Male,114606.44228927928
Sales,Masters,Female,127033.82164346942
Administration,PhD,Male,84292.77443766313
Management,High School,Male,94231.58889212957
Engineering,High School,Male,88820.18760684159
Sales,Masters,Female,46722.460658407
Operations,PhD,Male,86898.98267004834
Engineering,PhD,Male,78262.1485889436
Sales,High School,Male,151711.9710504274
Management,High School,Female,103825.81955190857
Operations,College,Male,72422.75438709097
Sales,PhD,Male,84133.82188488326
Operations,College,Female,128953.79844339922
Administration,PhD,Female,103027.69837285778
Engineering,College,Female,123049.72823614106
Engineering,High School,Male,111761.81634003756
Administration,High School,Female,76453.15696803799
Operations,College,Male,69107.55766853741
Operations,High School,Male,130863.8762264555
Sales,Masters,Female,57939.23238269816
Engineering,PhD,Male,55903.28570441876
Management,PhD,Male,99831.97237430699
Engineering,Masters,Female,88165.34401484088
Operations,High School,Female,44873.59385774101
Sales,High School,Female,83987.66349639531
Administration,Masters,Male,151987.9191832872
Engineering,High School,Female,92450.59143395284
Administration,Masters,Male,111219.52693473716
Management,PhD,Female,76053.90184099665
Engineering,High School,Female,63175.78022241546
Engineering,High School,Female,45114.962000545616
Operations,College,Female,80588.6400790772
Administration,PhD,Female,81027.64952080933
Operations,Masters,Male,136099.50489666863
Operations,Masters,Male,61838.96671776106
Engineering,High School,Male,118482.39232854421
Sales,Masters,Male,65553.6728936083
Management,PhD,Female,71706.92052476054
Administration,PhD,Male,89726.9367857726
Operations,College,Female,103201.31234088232
Administration,High School,Male,61483.88824510654
Management,Masters,Male,101136.65719282586
Administration,Masters,Male,86440.48951645006
Administration,High School,Female,59082.37311383737
Engineering,Masters,Male,75490.48670867845
Sales,High School,Female,67612.92206617948
Operations,College,Male,102874.55744977604
Engineering,PhD,Female,128557.6187889562
Administration,Masters,Female,70096.48443063043
Administration,High School,Male,90192.66656260355
Sales,High School,Female,89771.17263398838
Sales,PhD,Male,188831.22506523592
Management,High School,Male,69552.0621530283
Operations,PhD,Male,59069.38626810276
Administration,Masters,Female,81126.47941655031
Operations,Masters,Male,53444.415327959425
Operations,College,Female,57501.60462732923
Administration,High School,Female,105997.60458570899
Management,Masters,Female,137254.8152920723
Sales,Masters,Female,55049.317732161675
Operations,PhD,Male,141688.20379199856
Administration,College,Male,107399.50018322088
Management,College,Male,101067.39156427939
Administration,PhD,Female,62625.311458548575
Operations,High School,Male,59513.14918845886
Administration,College,Male,133091.9981615136
Management,Masters,Female,39320.94911183216
Engineering,College,Male,136222.92663871724
Engineering,Masters,Male,132421.493488449
Engineering,High School,Female,79769.96897905259
Sales,College,Female,105881.69330572014
Administration,Masters,Male,113410.49281124365
Sales,Masters,Male,59451.52886715232
Operations,PhD,Female,124169.64131136941
Operations,College,Female,34549.275232260836
Operations,Masters,Male,139691.04466622317
Engineering,PhD,Female,110026.91945405005
Management,High School,Female,54768.45702108572
Administration,College,Female,138002.98341761038
Operations,College,Female,93461.67756167108
Administration,PhD,Female,115783.20084178884
Operations,High School,Male,70914.42001494367
Management,High School,Female,148587.04414184755
Administration,Masters,Female,76659.6312788448
Operations,High School,Female,75960.13946261306
Management,College,Female,120758.25028690913
Engineering,Masters,Female,86996.57671816135
Operations,Masters,Male,108464.27746851159
Administration,PhD,Female,82701.96791092707
Sales,High School,Male,92094.50300121357
Administration,High School,Female,53581.11678021974
Sales,College,Male,91947.07091576517
Management,College,Male,113355.14290056455
Sales,High School,Female,61854.08382968139
Engineering,PhD,Male,116510.2542563571
Administration,College,Female,95028.6519918087
Administration,Masters,Male,127328.46397533941
Engineering,High School,Male,70019.42169261142
Administration,High School,Female,78831.83683362976
Engineering,Masters,Male,147255.9098449551
Administration,College,Male,118188.77113143112
Sales,College,Male,108044.25184071036
Sales,PhD,Female,86540.84541311176
Sales,PhD,Male,59051.67369681018
Operations,Masters,Female,88793.2560860337
Sales,PhD,Female,72069.73522754922
Sales,High School,Male,117471.3255279229
Engineering,High School,Female,87759.40163892896
Operations,PhD,Male,117256.33061740453
Administration,PhD,Female,113478.93486872423
Operations,Masters,Male,87868.11936298272
Sales,PhD,Male,86800.0117694279
Administration,Masters,Female,96310.79271695678
Engineering,College,Male,97412.4528671243
Operations,PhD,Female,100002.61961108897
Sales,PhD,Male,103776.02891627484
Management,High School,Male,113024.36448253153
Administration,Masters,Male,82591.64244969928
Operations,Masters,Male,143208.20527732006
Sales,Masters,Male,75896.22828635607
Sales,High School,Male,135696.94794691296
Administration,College,Male,127997.61409949842
Engineering,High School,Female,149644.63615627878
Operations,High School,Female,95995.31386681355
Engineering,High School,Female,64229.6858733908
Sales,Masters,Female,55159.1353444657
Management,PhD,Female,137016.0301060995
Administration,High School,Female,90840.09981916509
Management,Masters,Female,132967.62610946153
Engineering,PhD,Male,81771.50224598196
Administration,PhD,Male,92131.29726050301
Operations,College,Female,67773.49504573141
Operations,PhD,Male,31264.58462290874
Management,Masters,Male,137255.9669207258
Sales,PhD,Female,131606.38097867402
Operations,PhD,Female,97863.7990554406
Sales,Masters,Female,114899.98889203809
Engineering,College,Male,103028.17463356104
Operations,Masters,Male,115061.02767008061
Administration,College,Female,114997.33522834713
Management,High School,Male,136030.91902714872
Engineering,PhD,Male,100120.9064894978
Engineering,High School,Male,132813.75360064922
Sales,High School,Male,96656.90035945986
Administration,College,Male,96858.38447464042
Management,High School,Female,67048.978488617
Sales,Masters,Male,137504.34560012014
Operations,PhD,Male,90166.13573137361
Sales,College,Male,96505.36716564324
Management,High School,Male,96606.64858351294
Sales,Masters,Male,87375.14593504844
Management,Masters,Female,85887.20892995305
Engineering,High School,Female,96944.40610907481
Operations,PhD,Female,80213.4651673093
Operations,High School,Male,72577.11488301112
Sales,College,Male,88141.05730043672
Sales,PhD,Male,84763.08503737852
Operations,College,Female,125869.03586886886
Operations,College,Male,105525.42753774129
Engineering,College,Male,130783.42859285549
Management,PhD,Male,114935.18146751278
Administration,Masters,Male,100424.75232754837
Management,College,Male,106246.71540187266
Engineering,High School,Male,114403.71225513342
Management,High School,Female,85120.02819139096
Engineering,PhD,Male,134325.80967776704
Sales,High School,Male,104201.00240894339
Administration,College,Female,68643.05946532678
Operations,High School,Female,82388.74721745522
Sales,Masters,Male,74703.51635455768
Administration,Masters,Female,73549.92108098663
Sales,PhD,Male,100962.50760079821
Operations,College,Female,107834.56342141787
Management,PhD,Female,122805.70463288356
Administration,Masters,Male,84948.96510242269
Management,High School,Male,102794.9238454518
Sales,Masters,Male,95959.85713829094
Management,PhD,Female,97886.54565489477
Engineering,Masters,Male,71430.49047010345
Engineering,College,Male,96509.33092593464
Sales,Masters,Female,46073.63915434472
Management,College,Female,109689.31797739463
Engineering,College,Male,118101.82088832631
Engineering,High School,Female,116797.49751240073
Administration,PhD,Male,39195.38613778154
Management,PhD,Female,84370.64067970794
Operations,PhD,Female,123544.89166985209
Administration,College,Female,68337.20388009827
Operations,College,Female,98578.07139759409
Management,College,Female,72978.65759256917
Sales,College,Male,71189.54079333304
Management,College,Female,62245.57358735548
Sales,College,Male,56479.22526351297
Engineering,Masters,Male,108508.47161326064
Sales,High School,Female,95396.38646641794
Management,PhD,Female,89555.05674912616
Management,PhD,Female,87860.91528856152
Administration,Masters,Male,103859.72562369108
Administration,PhD,Female,91893.94506980239
Engineering,PhD,Male,131280.48469559234
Engineering,Masters,Male,136191.48302021046
Administration,College,Female,72322.92646315754
Administration,PhD,Male,66499.05154627608
Administration,Masters,Male,141705.0489718118
Engineering,Masters,Female,105358.1822287578
Management,College,Male,72480.84534780214
Operations,Masters,Female,62601.173915913474
Administration,College,Male,104436.88581443478
Management,College,Male,86677.46651676789
Operations,PhD,Male,122954.8462731211
Administration,Masters,Female,79873.97367336095
Sales,College,Female,128993.4497352614
Management,College,Male,81120.83956888538
Sales,PhD,Female,144566.9901209417
Operations,College,Male,105933.37873225952
Operations,High School,Male,98429.76028283937
Sales,College,Female,106332.01182439284
Management,College,Male,118117.27819860642
Operations,PhD,Male,40303.467750550706
Engineering,PhD,Female,126509.19312427254
Sales,Masters,Female,62423.67899298968
Sales,PhD,Female,99161.71871461683
Administration,Masters,Male,48296.33342794267
Operations,High School,Male,89393.31287031606
Operations,PhD,Male,154416.01674918
Sales,Masters,Female,124749.87031349927
Engineering,College,Male,92761.0070132032
Engineering,Masters,Female,74869.75163875679
Engineering,Masters,Male,144308.7134635482
Engineering,Masters,Female,100390.81336794836
Engineering,College,Male,78467.73312521915
Engineering,Masters,Female,84789.06456063494
Administration,High School,Male,91913.7438115378
Operations,Masters,Male,85950.66176703993
Management,PhD,Female,95165.84305932638
Operations,College,Male,56199.462002882225
Sales,Masters,Male,111136.08414341208
Sales,High School,Female,104548.8739956652
Engineering,High School,Male,46429.20420973522
Sales,College,Male,73098.9167027498
Management,College,Male,54599.26429123845
Administration,PhD,Female,121989.39317740974
Sales,Masters,Female,94780.28814145042
Sales,Masters,Male,140338.61136325105
Administration,PhD,Male,88150.24754253839
Management,PhD,Male,71359.57547157085
Sales,College,Male,90320.6336524116
Administration,College,Female,95809.50456864464
Sales,High School,Female,78599.9124422119
Sales,College,Female,91186.5510718734
Management,PhD,Male,137167.99578234548
Sales,Masters,Female,74986.88987467035
Administration,High School,Female,102415.50378479094
Operations,Masters,Male,120025.81127702056
Administration,High School,Female,130427.9141333719
Sales,Masters,Male,79063.56299498028
Administration,College,Female,143168.48528271457
Engineering,College,Male,114547.68593163989
Engineering,College,Male,112468.01996770118
Administration,PhD,Male,111342.24743514274
Administration,College,Female,99278.09045408972
Sales,College,Female,76844.49704058
Sales,Masters,Male,101109.55111191829
Engineering,College,Female,126607.97766514045
Engineering,Masters,Female,115287.44498233062
Management,PhD,Male,85094.81906494425
Operations,Masters,Male,146821.2862519745
Sales,Masters,Male,82766.27905804018
Operations,High School,Male,75688.39173008269
Operations,High School,Male,94407.67195971604
Management,PhD,Male,86074.93139003668
Sales,Masters,Female,117298.81403884292
Administration,Masters,Male,117766.70614413657
Operations,PhD,Female,119712.52246096445
Engineering,Masters,Female,111519.8299525174
Sales,Masters,Female,71126.56606443996
Operations,College,Male,107504.66374481398
Sales,College,Male,66839.23072736472
Administration,College,Male,84717.10341496392
Operations,Masters,Female,90147.47588761515
Management,College,Female,87728.424472126
Management,PhD,Female,131874.4931637025
Operations,College,Male,103161.14852200013
Sales,Masters,Female,52245.619212155034
Sales,PhD,Female,82876.41025106839
Engineering,Masters,Female,96606.45981059755
Engineering,Masters,Female,124853.3544214777
Administration,High School,Female,101180.40616634267
Sales,College,Male,100107.41447645547
Engineering,High School,Male,80020.64563641402
Operations,High School,Male,110011.18374952591
Sales,College,Female,60644.77680866627
Administration,College,Female,104727.317894105
Administration,PhD,Male,55717.37747228538
Management,High School,Female,76110.37250360109
Operations,College,Male,89088.10511043163
Operations,PhD,Female,70787.13924348004
Engineering,Masters,Male,91314.34506663115
Operations,High School,Male,127208.16635543322
Administration,High School,Male,109040.7771113494
Administration,PhD,Female,107842.10177083446
Engineering,PhD,Male,61488.71956989116
Operations,High School,Female,90241.17014974133
Management,PhD,Female,70102.16640800031
Management,College,Female,126271.82762059399
Management,College,Female,42144.41534946063
Operations,College,Female,56363.39239674049
Administration,College,Male,66937.19640047473
Administration,Masters,Male,108965.19920172825
Sales,High School,Male,111071.12097737084
Management,College,Male,122248.86910097567
Operations,College,Female,96417.14223108559
Management,College,Female,91086.70155540967
Administration,Masters,Male,140246.0064507515
Management,High School,Female,76771.64287969397
Engineering,College,Female,39733.10027552705
Management,PhD,Female,63788.17752125562
Management,College,Female,86808.10867403197
Administration,High School,Male,95694.50387067143
Management,Masters,Male,83895.52933000459
Sales,College,Female,88834.87151948345
Operations,PhD,Male,87590.0717537501
Administration,College,Male,120324.35507771031
Sales,College,Male,94587.16902072803
Administration,PhD,Male,73971.70420731172
Administration,College,Female,54483.92023707047
Engineering,Masters,Male,114078.0119183376
Sales,College,Male,52153.16130730112
Engineering,PhD,Female,79415.97359068504
Engineering,High School,Female,49807.95384788683
Engineering,Masters,Female,94738.99853221628
Sales,College,Male,59311.375241514885
Sales,College,Female,109120.13234974397
Administration,PhD,Male,98842.04930001864
Management,High School,Female,104707.13667369331
Engineering,College,Female,76273.41964141688
Operations,High School,Female,63945.85546314784
Operations,PhD,Male,135749.91776149432
Operations,High School,Female,92639.13378535736
Administration,Masters,Male,81218.28156644561
Engineering,Masters,Female,76768.799908122
Operations,Masters,Male,59244.96254908977
Administration,Masters,Female,98424.21421497008
Engineering,Masters,Male,92276.2998915517
Operations,High School,Female,73370.68471295905
Engineering,Masters,Female,124731.0259260897
Engineering,High School,Male,71360.40567268337
Engineering,Masters,Male,83041.02799122532
Engineering,PhD,Male,63967.884411095045
Engineering,Masters,Male,92034.06777200468
Sales,PhD,Male,127362.28232864437
Administration,High School,Female,122869.18860427415
Management,High School,Male,77987.17783212531
Operations,High School,Male,52976.95634081022
Engineering,PhD,Female,139719.93506036975
Engineering,Masters,Male,107546.32144854811
Engineering,Masters,Male,88517.40941456139
Operations,PhD,Female,122003.60335656478
Engineering,High School,Male,159020.46376447973
Sales,Masters,Female,83344.55240874266
Administration,College,Male,77388.55107120043
Sales,College,Female,74979.16195539158
Operations,College,Female,87593.6720597023
Engineering,PhD,Male,73688.59609531393
Management,College,Female,65742.19469617703
Administration,Masters,Female,120273.36909442354
Operations,PhD,Male,100073.38136199006
Engineering,High School,Male,84330.66756766001
Administration,Masters,Female,52225.25546607136
Administration,College,Female,108106.37242909921
Engineering,High School,Female,123797.60491482695
Management,High School,Male,155352.08414535658
Management,High School,Female,118307.15607470846
Sales,High School,Female,125311.10532046953
Sales,College,Male,115830.60037850786
Management,College,Male,90857.61274303154
Management,Masters,Male,94640.40809183258
Administration,High School,Male,81309.89188353824
Operations,Masters,Female,102941.09296170855
Operations,PhD,Male,86336.14683380157
Sales,PhD,Female,69220.91729171282
Operations,College,Female,90888.28891232923
Operations,High School,Male,69739.27357518932
Sales,Masters,Female,51050.981786554716
Engineering,PhD,Female,94875.81283867506
Operations,PhD,Female,75944.43610695367
Management,College,Male,87074.22602362372
Engineering,College,Male,90653.46286831905
Operations,College,Male,78783.34028713185
Sales,PhD,Female,98334.94011887851
Sales,PhD,Male,97582.23516594608
Operations,Masters,Male,128545.10979563845
Engineering,PhD,Male,131056.70177884666
Engineering,College,Male,77335.45295594809
Administration,PhD,Female,87791.46051510659
Management,High School,Female,140379.78263766022
Administration,High School,Male,159369.80672048483
Administration,PhD,Male,74751.63755906018
Management,PhD,Female,109031.27536356117
Administration,PhD,Male,84342.01762571033
Engineering,PhD,Male,160759.08882610497
Management,High School,Female,116073.58803168147
Administration,College,Male,113066.60321604139
Operations,College,Male,83760.8970342098
Sales,College,Female,68778.49384852988
Sales,PhD,Male,142375.63720794188
Sales,PhD,Male,134720.48652979784
Operations,Masters,Female,101314.01336791093
Management,High School,Male,82618.03165406953
Operations,PhD,Male,94054.86273433019
Sales,College,Female,69112.33511971895
Engineering,Masters,Male,127619.0909492179
Operations,Masters,Female,57347.67722233209
Engineering,PhD,Female,117732.43204277901
Sales,High School,Male,96060.87392257006
Administration,Masters,Female,70760.6600765492
Management,PhD,Female,83529.66530400785
Sales,Masters,Female,81663.87885378688
Management,PhD,Male,81823.60069376681
Administration,High School,Male,103288.12800862516
Administration,College,Female,97965.8756348646
Operations,PhD,Male,135379.54501283637
Management,High School,Male,83007.7529975929
Administration,College,Female,34868.37823855167
Administration,High School,Female,88831.25987538822
Administration,High School,Female,94977.40943327268
Engineering,High School,Male,57647.851077968
Operations,High School,Male,96044.86609720105
Operations,PhD,Female,112103.79760129064
Management,PhD,Male,68301.50836388272
Operations,High School,Male,165041.5210122347
Engineering,Masters,Female,65872.3067182764
Management,College,Male,102017.7084487603
Sales,Masters,Female,73162.68528490765
Management,College,Female,47912.08129270217
Engineering,PhD,Male,104570.42777301033
Administration,College,Female,63767.07949254613
Engineering,Masters,Male,135402.71946139744
Operations,High School,Male,83003.97590987296
Administration,College,Male,120792.51177909486
Operations,College,Male,119726.49512879107
Administration,College,Male,179638.4949770826
Sales,Masters,Female,82724.14659220946
Administration,High School,Female,116508.55432313439
Sales,PhD,Male,60008.0656663785
Operations,Masters,Female,61371.170452553844
Management,High School,Male,107926.79630741291
Engineering,PhD,Male,85559.57477955778
Operations,Masters,Male,86366.24935062174
Management,PhD,Male,121744.41702144856
Administration,High School,Male,122918.95576054654
Management,College,Female,105192.38283642684
Operations,High School,Male,146076.934949982
Operations,Masters,Female,114964.7727576196
Management,College,Male,103012.97620884306
Sales,Masters,Male,85850.48562467056
Management,College,Male,92037.86397014862
Management,College,Male,134402.58692681202
Management,PhD,Male,106413.20956304618
Administration,College,Male,88092.22752390306
Management,PhD,Female,85513.09794668206
Management,College,Male,100709.50655042173
Management,High School,Female,51927.0077253672
Sales,Masters,Male,105634.88946082813
Operations,College,Female,104911.83275442508
Engineering,PhD,Female,106134.8208054116
Management,Masters,Male,103532.37292716479
Sales,PhD,Female,51409.544373279874
