veil-type,gill-attachment,veil-color,ring-number,gill-spacing,gill-size,bruises,stalk-shape,class,stalk-surface-above-ring,stalk-surface-below-ring,ring-type,cap-surface,cap-shape,stalk-root,stalk-color-above-ring,stalk-color-below-ring,population,spore-print-color,habitat,odor,cap-color,gill-color
p,f,w,o,c,b,t,e,p,s,k,p,y,f,b,w,b,v,n,p,f,w,b
p,f,w,o,c,b,t,t,p,s,s,p,f,b,e,e,w,y,w,m,n,n,p
p,f,w,o,c,b,t,t,e,s,k,e,f,b,b,w,p,v,w,m,n,g,k
p,f,w,o,c,b,t,e,p,s,s,p,y,b,r,w,g,y,k,g,n,n,b
p,f,w,o,c,n,f,t,p,k,s,e,y,k,b,n,w,s,w,d,n,w,h
p,f,w,o,c,n,t,t,e,s,k,e,y,x,r,p,p,c,w,g,f,n,p
p,f,w,o,c,b,f,t,p,s,f,e,f,f,b,o,w,v,n,g,f,g,p
p,f,w,o,c,b,f,e,p,k,k,e,y,x,e,p,n,s,w,m,f,y,p
p,f,w,o,c,b,f,e,p,s,s,p,f,x,b,w,g,v,n,p,n,g,h
p,f,w,o,c,b,t,t,e,s,s,l,f,f,b,w,g,v,n,p,n,e,g
p,f,w,o,c,n,f,e,p,k,s,l,f,x,b,p,w,y,w,g,n,e,p
p,f,w,o,c,b,f,e,p,k,s,e,y,x,b,p,p,s,h,d,l,g,b
p,f,w,o,c,n,f,t,p,k,s,l,s,k,?,p,w,y,h,l,n,g,b
p,f,w,o,c,b,t,e,p,s,f,e,f,x,b,p,w,s,n,g,n,n,g
p,f,w,o,w,b,t,e,e,s,s,p,s,x,?,p,w,y,n,p,n,b,p
p,f,w,o,c,b,f,e,e,k,k,p,s,f,e,p,p,s,h,g,n,w,k
p,f,w,o,c,n,f,e,e,k,s,p,s,x,?,p,w,s,n,l,n,n,n
p,f,w,o,c,b,t,t,e,s,s,p,f,x,b,w,p,v,k,u,f,n,w
p,f,w,o,c,n,f,e,p,k,s,l,s,x,b,b,w,y,n,g,s,n,g
p,f,w,o,c,n,f,t,e,s,s,p,y,f,?,p,w,y,w,d,n,n,p
p,f,w,o,c,n,f,e,e,s,k,e,s,x,b,p,b,c,h,g,c,n,h
p,f,w,o,w,n,f,e,p,s,s,l,y,f,b,w,w,v,w,g,n,g,h
p,f,w,o,c,b,t,e,p,s,s,e,y,f,b,w,w,v,h,p,n,n,b
p,f,w,o,c,b,t,e,p,s,k,p,y,x,b,w,b,s,k,m,f,n,g
p,f,w,o,c,n,f,t,e,k,s,p,y,f,?,n,w,n,n,d,n,n,n
p,f,w,o,c,n,f,e,p,s,s,p,s,x,?,g,w,v,h,p,s,e,h
p,f,w,o,c,b,f,t,p,s,k,e,s,x,?,w,w,v,k,d,l,e,b
p,f,w,o,c,b,f,e,p,s,s,p,s,x,?,g,o,v,w,d,f,g,p
p,f,w,o,c,n,f,e,p,f,s,e,y,f,b,w,p,v,k,g,n,e,p
p,f,w,o,c,b,t,t,e,s,s,p,f,b,b,w,w,v,n,g,n,y,w
p,f,w,o,c,b,f,t,e,f,k,p,y,x,b,w,p,s,k,d,n,g,g
p,f,w,o,c,b,f,t,p,y,s,e,s,x,e,y,w,v,k,l,n,w,p
p,f,w,o,w,b,t,e,p,s,s,p,y,f,b,w,w,v,k,l,f,n,h
p,f,w,o,c,b,t,t,p,s,k,p,f,x,r,w,w,v,n,p,n,g,b
p,f,w,o,c,n,t,e,p,s,s,p,s,x,r,w,p,v,h,g,l,g,h
p,f,w,o,c,b,t,t,p,f,s,p,s,f,b,w,w,s,n,p,l,n,g
p,f,w,o,c,b,t,t,p,s,s,l,y,x,?,p,g,v,k,g,n,e,p
p,f,w,o,c,n,f,t,p,k,s,e,f,x,?,p,g,v,k,d,n,y,w
p,f,w,o,c,b,t,t,p,s,s,e,y,x,b,w,w,v,w,g,n,n,b
p,f,w,o,c,n,f,t,p,s,f,p,y,f,?,g,w,y,n,g,f,e,p
p,f,w,o,c,b,f,t,p,s,k,e,y,x,b,p,p,s,k,g,n,n,b
p,f,w,o,c,b,t,e,e,s,s,e,y,x,c,p,p,v,n,g,s,w,w
p,f,w,o,c,n,f,e,p,s,s,p,y,x,?,g,p,v,k,g,f,g,g
p,f,w,o,c,n,f,t,p,k,s,p,y,x,b,w,g,y,k,d,n,y,b
p,f,w,o,w,b,t,t,e,s,k,e,f,x,b,w,w,v,n,d,f,w,k
p,f,w,o,c,n,f,t,e,k,s,p,y,x,?,p,p,v,k,m,s,g,w
p,f,w,o,c,b,t,t,p,s,s,p,y,f,b,w,p,v,n,g,s,w,b
p,f,w,o,c,n,f,t,p,k,s,e,s,f,?,p,o,v,w,g,y,e,y
p,f,w,o,c,b,f,t,p,k,s,p,f,x,?,p,o,y,k,g,n,g,p
p,f,w,o,c,n,f,t,p,s,s,p,y,k,b,w,w,v,h,l,p,e,w
p,f,w,o,c,n,f,e,e,k,s,p,y,f,e,p,w,v,h,p,n,g,n
p,f,w,o,c,b,t,e,e,s,s,l,f,b,?,w,w,y,b,m,c,e,w
p,f,w,o,c,n,f,t,p,k,k,e,f,k,b,b,w,a,n,g,n,g,p
p,f,w,o,w,b,t,t,e,s,s,p,f,x,b,g,w,y,w,d,n,n,u
p,f,w,o,c,n,f,t,p,s,y,p,s,x,e,p,w,y,w,g,p,e,b
p,f,w,o,c,b,f,e,e,k,s,p,y,f,b,p,w,n,k,g,f,w,u
p,f,w,o,c,b,f,t,e,s,k,l,f,f,e,e,n,v,w,m,f,y,g
p,f,w,o,c,n,f,e,p,s,s,e,s,x,?,w,p,v,w,g,n,y,p
p,f,w,o,c,b,t,t,e,s,k,e,y,f,b,p,w,s,w,d,y,w,n
p,f,w,o,c,b,t,t,p,s,k,e,s,f,b,w,b,a,k,g,n,y,b
p,f,w,o,c,b,f,e,e,k,s,e,y,x,e,p,p,v,h,d,f,g,h
p,f,w,o,c,n,f,t,p,s,k,p,y,f,b,p,n,v,n,p,l,n,b
p,f,w,o,c,b,t,t,e,s,s,p,y,f,e,w,w,y,k,p,n,e,p
p,f,w,o,c,b,f,e,e,s,k,p,f,x,?,w,w,v,k,g,f,y,p
p,f,w,n,c,b,f,e,p,k,k,l,f,k,e,w,w,y,w,g,f,n,b
p,f,w,o,c,b,t,t,p,s,s,e,y,f,?,w,w,s,w,w,s,g,k
p,f,w,o,c,b,t,e,p,s,s,e,f,x,b,w,w,v,h,d,f,n,p
p,f,w,o,w,b,f,t,e,k,s,e,y,f,b,b,w,v,k,p,l,b,u
p,f,w,o,c,b,f,t,e,k,k,p,s,k,b,n,n,v,w,d,a,g,k
p,f,w,o,c,n,f,t,e,k,s,e,f,f,?,p,w,s,k,p,c,y,p
p,f,w,o,c,b,f,e,p,k,s,l,s,f,?,p,w,v,h,d,a,e,p
p,f,w,o,c,b,t,t,p,s,s,p,y,x,e,w,p,y,w,d,n,g,w
p,f,w,o,c,b,t,t,p,s,s,p,y,k,e,w,p,v,k,w,y,y,n
p,f,w,o,c,b,t,t,e,s,s,p,s,x,c,w,w,s,u,d,f,e,o
p,f,w,o,c,n,t,e,e,s,k,l,s,f,b,p,b,y,n,p,a,g,p
p,f,w,o,w,b,f,t,p,k,k,p,y,k,e,p,b,s,w,p,n,e,n
p,f,w,o,c,n,f,t,p,f,f,e,y,k,e,w,w,a,k,p,y,y,b
p,f,w,o,c,b,t,t,p,s,f,l,f,f,e,w,w,v,n,d,n,y,w
p,f,w,o,c,b,f,e,p,k,f,p,f,f,?,p,w,s,h,p,n,y,p
p,f,w,o,c,n,t,t,p,s,s,l,s,x,b,w,p,v,w,g,n,g,b
p,f,w,o,c,b,f,t,e,s,s,p,s,f,?,p,w,v,n,d,n,n,w
p,f,w,o,c,n,f,e,p,s,s,e,s,x,?,g,w,v,w,l,p,e,p
p,f,w,o,c,n,f,t,p,f,s,p,s,f,?,w,g,s,w,l,f,p,b
p,f,w,o,c,b,t,t,p,s,s,p,s,x,c,w,w,s,w,d,p,w,b
p,f,w,o,c,n,t,t,p,s,s,p,y,x,c,p,w,s,w,d,n,g,b
p,f,w,o,c,b,t,t,p,s,k,p,y,x,b,w,b,s,w,d,y,n,p
p,f,w,o,c,b,f,e,e,k,k,e,f,x,b,n,b,v,n,g,n,n,w
p,f,w,o,c,b,t,e,e,s,s,p,f,x,c,w,p,s,w,p,n,g,n
p,f,w,o,c,n,f,t,e,k,k,p,y,k,?,b,w,v,n,p,n,g,u
p,f,w,o,c,n,f,e,e,f,s,l,s,x,b,w,w,v,k,g,n,n,n
p,f,w,o,c,b,t,e,p,s,k,p,f,f,b,w,b,s,h,w,n,n,b
p,f,w,o,w,b,t,e,e,s,s,e,f,f,e,w,p,v,n,g,n,e,p
p,f,w,o,w,b,t,e,e,s,y,p,f,b,b,w,w,v,k,l,n,n,w
p,f,w,o,c,b,t,t,e,s,s,p,f,x,b,w,w,v,n,d,n,b,n
p,f,w,o,c,b,t,e,p,s,s,e,y,b,c,w,w,v,n,m,s,g,p
p,f,w,o,c,n,f,t,e,k,s,p,y,x,b,w,w,v,w,d,n,n,u
p,f,w,o,c,b,t,e,e,s,s,e,f,f,b,w,p,v,w,l,n,g,w
p,f,w,o,c,b,f,t,p,s,s,e,s,x,?,w,g,v,n,g,n,n,p
p,f,w,o,c,b,f,t,p,k,k,l,f,x,?,p,p,y,h,g,f,n,p
p,f,w,o,c,n,f,e,e,k,k,e,y,f,b,n,b,v,y,l,n,n,w
p,f,w,o,c,n,t,e,e,s,s,e,y,f,c,g,g,v,n,d,f,g,w
p,f,w,o,c,b,t,t,p,s,s,l,f,x,b,w,w,v,k,l,n,e,b
p,f,w,o,w,b,f,t,e,s,s,l,f,x,?,w,p,y,w,u,c,w,k
p,f,w,o,c,b,f,e,e,s,s,p,s,k,?,w,w,y,h,l,f,e,n
p,f,w,o,w,b,t,t,e,s,s,l,y,f,b,g,w,y,w,g,n,w,n
p,f,w,o,c,b,f,t,e,k,s,p,y,f,e,b,w,y,n,d,f,e,p
p,f,w,o,c,n,f,e,p,k,s,p,y,k,b,w,g,n,n,p,n,g,g
p,f,w,o,c,b,t,t,e,s,s,p,s,x,b,w,p,y,k,d,a,g,w
p,f,w,o,c,b,f,e,p,s,k,p,f,x,e,p,p,v,k,g,n,e,b
p,f,w,o,c,b,f,t,e,k,s,p,y,x,?,w,w,v,n,l,l,e,g
p,f,w,o,c,n,f,e,p,s,k,l,s,f,?,g,n,v,w,d,n,n,h
p,f,w,o,c,n,f,e,e,s,k,p,s,x,e,g,p,y,h,d,p,b,u
p,f,w,o,c,n,f,e,e,s,k,e,s,x,?,w,w,v,n,d,y,y,o
p,f,w,o,c,b,t,e,e,s,s,p,f,b,b,w,g,y,n,m,n,w,n
p,f,w,o,c,b,t,t,p,s,y,p,f,k,e,p,y,y,k,p,n,y,g
p,f,w,o,c,b,t,t,e,s,s,l,y,f,e,w,w,v,k,l,y,y,p
p,f,w,o,c,b,f,t,e,s,s,p,s,k,?,p,p,v,w,l,s,g,n
p,f,w,o,c,n,f,e,e,k,f,p,f,b,?,b,w,v,h,m,n,y,n
p,f,w,o,c,n,f,t,e,k,s,p,y,x,e,p,w,v,k,g,s,e,o
p,f,w,o,c,b,f,t,e,k,s,p,y,x,?,p,w,n,n,g,n,g,n
p,f,w,o,c,n,f,e,e,s,k,e,y,x,e,w,b,v,k,d,n,n,u
p,f,w,o,c,b,f,e,p,s,k,p,y,k,?,p,n,y,h,g,n,e,b
p,f,w,o,c,b,t,t,p,s,k,e,f,x,b,w,b,v,w,p,n,n,b
p,f,w,o,c,n,f,t,e,s,s,l,s,x,e,p,g,v,w,d,p,g,p
p,f,w,o,c,n,f,t,e,f,k,p,f,x,?,w,p,s,n,m,c,g,w
p,f,w,o,c,b,t,e,e,s,s,p,s,x,b,w,p,v,h,g,y,n,p
p,f,w,o,c,n,f,t,e,s,k,e,f,f,b,w,w,c,w,d,n,y,n
p,f,w,o,c,b,t,t,p,s,s,p,f,f,b,w,p,v,w,p,n,n,h
p,f,w,o,c,b,f,t,e,k,s,l,f,f,?,p,w,y,h,p,n,y,p
p,f,w,o,w,b,t,t,e,s,k,e,s,x,?,w,p,v,w,l,n,n,h
p,f,w,o,c,b,t,e,p,s,s,p,f,f,b,w,w,y,h,g,n,g,b
p,f,w,o,c,b,f,t,e,s,y,p,f,k,b,w,w,s,n,p,n,w,n
p,f,w,o,c,b,f,e,p,s,s,n,f,x,b,w,w,c,w,g,f,n,b
p,f,w,o,c,b,f,t,p,s,f,e,s,x,b,o,w,v,k,d,n,g,b
p,f,w,o,w,b,f,e,p,k,y,p,s,x,?,b,w,y,h,d,n,n,b
p,f,w,o,w,b,t,t,p,s,s,l,f,f,b,w,g,y,h,p,n,b,b
p,f,w,o,c,n,f,t,e,k,k,e,f,x,?,w,b,v,k,d,n,n,n
p,f,w,o,c,b,t,t,p,s,s,p,f,f,c,o,w,v,n,p,n,w,p
p,f,w,o,w,b,f,t,p,k,k,e,s,x,b,p,w,v,n,g,f,g,b
p,f,w,o,c,b,f,t,p,k,k,e,f,x,?,n,p,v,k,u,n,n,h
p,f,w,o,c,b,f,t,p,s,s,e,f,x,e,w,w,a,k,g,f,e,b
p,f,w,o,w,b,f,t,e,f,s,e,y,f,c,w,p,v,n,g,s,e,n
p,f,w,o,c,b,t,e,e,s,s,e,f,x,c,w,p,v,k,d,f,e,w
p,f,w,o,c,b,t,e,e,s,k,p,y,x,b,p,p,y,w,d,f,p,w
p,f,w,o,c,n,f,e,e,s,s,e,s,f,b,w,w,a,h,u,l,p,p
p,f,w,o,w,b,f,e,p,k,s,e,f,f,b,w,w,v,k,g,n,e,h
p,f,w,o,c,b,t,t,p,s,k,p,y,f,c,w,w,v,n,d,f,e,b
p,f,w,o,c,b,t,t,e,s,k,e,y,k,b,w,w,a,w,g,n,n,n
p,f,w,o,c,n,f,t,p,k,f,e,s,f,?,p,w,v,h,d,n,g,b
p,a,o,o,c,b,f,e,p,s,s,n,f,x,b,o,n,c,n,l,n,g,g
p,f,w,o,c,n,t,t,p,s,s,e,y,f,c,p,o,v,h,g,f,n,g
p,f,w,o,c,b,f,t,e,k,k,p,s,f,b,w,w,y,k,l,n,g,k
p,f,w,o,w,b,f,e,p,s,k,p,y,x,?,w,p,v,k,g,l,g,b
p,f,w,t,c,b,f,e,e,k,y,l,f,k,b,b,w,y,r,d,n,w,w
p,f,w,o,c,b,f,t,p,k,k,p,s,x,?,p,p,v,k,m,n,g,p
p,f,w,o,c,b,f,t,e,s,s,e,y,x,?,p,w,v,n,d,f,n,n
p,f,w,o,c,n,f,e,e,k,s,p,y,f,e,p,w,s,w,w,y,n,w
p,a,o,o,c,b,f,e,p,s,s,p,s,x,e,w,w,v,n,d,y,w,b
p,f,w,o,c,b,f,t,e,s,s,p,f,b,?,w,w,s,k,g,n,g,w
p,f,w,o,c,b,f,t,e,s,k,e,y,x,e,p,p,v,k,g,p,n,n
p,f,w,o,w,b,f,e,e,k,k,e,f,f,e,w,p,v,h,d,f,n,p
p,f,w,o,c,b,t,t,p,s,s,p,s,x,b,w,w,v,w,l,s,w,g
p,f,w,o,w,b,t,t,e,s,y,p,f,f,c,g,w,s,n,l,n,y,u
p,f,w,o,c,b,t,t,p,s,k,l,s,k,c,g,b,v,k,w,y,n,b
p,f,w,o,c,b,t,e,e,s,s,l,f,x,c,p,p,v,b,d,f,n,p
p,f,w,o,c,b,f,t,e,k,k,e,y,x,b,p,p,v,w,m,f,g,w
p,f,w,o,c,n,t,t,p,s,s,p,y,f,b,p,w,v,w,d,n,n,w
p,f,w,o,c,n,f,t,p,k,k,p,y,f,?,w,w,v,n,w,n,g,b
p,f,w,o,c,b,f,e,p,k,s,p,s,f,e,p,w,y,w,d,l,n,b
p,f,w,o,c,b,f,e,p,s,y,n,s,x,b,g,w,c,n,d,p,y,h
p,f,w,o,c,n,f,t,p,s,k,p,y,x,b,w,w,v,k,d,f,n,w
p,f,w,o,c,b,t,t,p,s,k,p,y,x,b,g,p,s,n,g,f,g,g
p,f,w,o,c,n,f,e,p,s,k,p,s,x,b,p,p,y,b,l,f,y,g
p,f,w,o,c,n,f,e,p,s,k,f,s,x,?,w,n,v,r,g,n,w,b
p,f,w,o,c,n,f,t,p,f,k,p,s,x,e,w,p,c,n,g,y,g,h
p,f,w,o,c,b,f,t,p,s,y,p,f,f,?,w,w,v,w,u,n,g,b
p,f,w,o,c,n,f,e,e,k,s,p,y,k,b,b,w,y,w,l,y,n,n
p,f,w,o,c,b,t,t,p,s,s,p,y,k,b,g,w,s,w,l,s,n,k
p,f,w,o,c,n,f,e,e,k,s,p,s,f,e,w,w,v,h,g,f,y,p
p,f,w,o,c,b,t,e,e,s,k,l,y,f,r,w,b,v,h,u,s,g,w
p,f,w,o,c,n,f,t,e,s,s,p,s,x,?,w,w,v,w,g,f,n,p
p,f,w,o,c,b,f,t,e,k,k,p,f,f,?,w,p,v,h,p,n,g,p
p,f,w,o,c,b,f,e,p,k,s,p,s,x,b,b,o,y,h,m,f,n,p
p,f,w,o,c,b,f,t,e,k,s,e,s,x,?,w,g,c,w,l,n,e,k
p,f,w,o,c,n,f,e,p,k,s,p,y,b,?,p,w,v,k,m,s,g,g
p,f,w,o,c,b,t,e,p,s,k,e,s,x,e,w,n,a,h,w,y,n,h
p,f,w,t,c,b,f,e,e,k,k,e,f,x,b,w,w,v,k,g,n,g,g
p,f,w,o,c,b,f,t,p,s,s,l,y,f,?,p,g,y,w,g,f,n,b
p,f,w,o,c,n,t,t,e,s,s,e,y,x,b,o,w,v,w,d,f,g,n
p,f,w,o,c,n,f,t,p,s,y,e,y,x,b,g,y,v,w,w,f,n,h
p,f,w,o,c,b,f,t,p,k,k,e,y,x,e,p,w,v,w,p,n,y,b
p,f,w,o,c,b,t,t,p,s,s,l,f,x,b,w,w,y,w,d,n,y,b
p,f,w,o,c,b,t,e,p,s,k,e,f,f,b,g,p,v,h,d,n,g,g
p,f,w,o,c,n,f,e,p,k,s,p,y,f,?,w,w,s,w,d,f,y,b
p,f,w,o,c,b,f,t,p,f,s,p,y,f,?,w,w,v,w,g,n,e,b
p,f,w,o,c,b,f,e,p,k,s,e,f,x,?,b,w,s,n,d,n,g,h
p,f,w,o,c,b,t,e,p,s,s,e,f,f,b,g,w,s,n,d,n,g,g
p,f,w,o,c,n,f,e,e,k,k,p,y,x,e,p,p,v,n,d,n,n,p
p,f,w,o,c,b,t,t,p,s,s,e,y,f,b,w,p,v,k,g,l,g,w
p,f,w,o,w,b,t,t,p,s,f,l,s,f,?,o,w,v,n,g,s,n,b
p,f,w,o,c,b,t,t,p,s,s,e,s,k,b,w,w,v,w,l,f,e,n
p,f,w,o,w,n,t,e,p,f,f,p,s,x,b,w,w,v,h,d,y,n,b
p,f,w,o,c,b,t,e,e,s,k,l,s,f,b,w,w,y,k,g,f,n,w
p,f,w,o,c,b,f,e,e,s,s,p,y,f,b,w,w,s,n,g,a,e,p
p,f,w,o,c,b,t,t,e,s,k,p,y,f,c,w,p,n,h,p,a,y,w
p,f,w,o,c,n,f,t,p,k,k,e,s,f,b,n,p,v,k,d,f,g,h
p,f,w,t,c,n,f,t,e,f,s,p,s,x,b,w,g,y,h,g,n,c,p
p,f,w,o,c,b,t,t,e,s,s,e,s,k,b,w,w,v,n,d,a,y,n
p,f,w,o,c,n,f,e,e,k,s,e,y,f,?,p,w,v,h,d,n,g,u
p,f,w,o,w,b,t,t,e,s,s,e,f,x,b,w,w,a,k,d,n,g,p
p,f,w,t,c,b,f,e,e,k,s,e,y,x,?,b,w,a,h,u,y,n,p
p,f,w,o,c,b,t,t,e,s,s,l,f,f,b,w,w,v,k,d,n,b,w
p,a,n,o,c,b,f,e,p,f,s,p,s,x,b,w,w,v,w,p,y,w,b
p,a,w,o,c,n,f,t,e,f,y,p,s,x,?,w,n,v,k,d,f,n,u
p,f,w,o,c,n,f,e,e,s,s,e,s,x,?,w,w,v,h,g,n,n,w
p,f,w,o,c,b,t,e,e,s,k,p,y,x,b,w,n,s,y,g,n,e,w
p,f,w,t,w,b,t,t,e,s,f,p,s,k,b,p,w,y,n,l,s,p,n
p,f,w,o,w,b,f,e,p,k,s,e,f,x,?,w,w,v,b,d,n,y,b
p,f,w,o,c,b,t,e,p,s,s,e,y,f,b,g,w,a,w,d,n,g,b
p,f,w,o,c,b,f,e,e,s,k,p,y,x,b,o,w,n,h,d,f,g,w
p,f,w,o,c,n,f,t,p,f,s,p,s,x,?,w,w,y,w,l,n,y,b
p,f,w,o,c,b,f,e,p,k,s,p,y,x,?,b,g,v,h,d,y,e,b
p,f,w,o,c,b,t,e,e,s,k,l,y,f,c,o,w,y,k,d,s,w,u
p,f,w,o,c,n,f,e,e,k,s,p,s,x,?,p,g,y,h,g,s,y,w
p,f,w,o,c,n,f,t,e,k,k,p,s,f,?,n,p,v,n,p,c,g,p
p,f,w,o,c,n,f,e,p,k,s,p,s,x,b,b,w,y,w,m,p,w,b
p,f,w,t,c,b,t,t,e,s,s,p,f,f,b,g,w,y,w,l,f,w,w
p,a,o,o,c,b,f,e,e,f,s,p,f,f,b,w,w,v,h,g,f,y,n
p,f,w,o,c,b,t,e,p,s,s,e,f,f,b,w,o,v,n,l,c,n,g
p,f,w,o,c,n,t,t,p,s,s,e,y,x,c,p,p,v,w,d,s,y,g
p,f,w,o,c,n,f,t,p,s,s,p,s,f,e,w,w,s,w,d,n,e,p
p,f,w,o,c,n,f,e,p,k,k,p,s,x,e,p,p,c,k,g,f,w,b
p,f,w,o,c,b,t,t,e,s,k,e,f,x,b,p,p,v,k,l,n,w,u
p,f,w,o,w,b,t,e,p,s,s,p,s,f,b,w,g,s,h,g,f,e,w
p,f,w,o,c,b,t,t,e,s,f,p,y,f,b,w,w,v,k,g,f,g,w
